"Action","Action"
"Add Vendor Pricing","Add Vendor Pricing"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Product","Change Product"
"Change status","Change status"
"Could not find vendor pricing to delete.","Could not find vendor pricing to delete."
"Delete Vendor Pricing","Delete Vendor Pricing"
"Delete","Delete"
"Disabled","Disabled"
"Edit Vendor Pricing '%s'","Edit Vendor Pricing '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Part Cost","Part Cost"
"Part Description","Part Description"
"Part Number","Part Number"
"Please select vendor pricings to delete.","Please select vendor pricings to delete."
"Please select vendor pricings.","Please select vendor pricings."
"Product","Product"
"Save And Continue Edit","Save And Continue Edit"
"Save Vendor Pricing","Save Vendor Pricing"
"Status","Status"
"Store views","Store views"
"There was a problem saving the vendor pricing.","There was a problem saving the vendor pricing."
"There was an error deleteing vendor pricing.","There was an error deleteing vendor pricing."
"There was an error deleteing vendor pricings.","There was an error deleteing vendor pricings."
"There was an error updating vendor pricings.","There was an error updating vendor pricings."
"This vendor pricing no longer exists.","This vendor pricing no longer exists."
"Total of %d vendor pricings were successfully deleted.","Total of %d vendor pricings were successfully deleted."
"Total of %d vendor pricings were successfully updated.","Total of %d vendor pricings were successfully updated."
"Unable to find vendor pricing to save.","Unable to find vendor pricing to save."
"Vendor Cost","Vendor Cost"
"Vendor Pricing was successfully deleted.","Vendor Pricing was successfully deleted."
"Vendor Pricing was successfully saved","Vendor Pricing was successfully saved"
"Vendor Pricing","Vendor Pricing"
"Vendor Pricings","Vendor Pricings"
"XML","XML"
"Yes","Yes"